PrepTest_Number,Section_Number,Section_Type,Question_Number_in_Section,Question_ID,Question_Difficulty,Question_50_Percent_Score,LR_Question_Type,LR_Skills,RC_Passage_ID,RC_Passage_Number_in_Section,RC_Passage_Difficulty,RC_Passage_Categories,RC_Question_Categories,RC_Question_Number_in_Passage
101,1,Reading Comprehension,,PT-101-S-1-P-1-Q-1,1.0,132.11,,,PT-101-S-1-P-1,1,2.0,Debate; Humanities; Problem Analysis,Main Idea,1
101,1,Reading Comprehension,,PT-101-S-1-P-1-Q-2,2.0,134.62,,,PT-101-S-1-P-1,1,2.0,Debate; Humanities; Problem Analysis,Author Viewpoint; Inference,2
101,1,Reading Comprehension,,PT-101-S-1-P-1-Q-3,3.0,141.58,,,PT-101-S-1-P-1,1,2.0,Debate; Humanities; Problem Analysis,Inference,3
101,1,Reading Comprehension,,PT-101-S-1-P-1-Q-4,3.0,143.96,,,PT-101-S-1-P-1,1,2.0,Debate; Humanities; Problem Analysis,Inference,4
101,1,Reading Comprehension,,PT-101-S-1-P-1-Q-5,3.0,151.47,,,PT-101-S-1-P-1,1,2.0,Debate; Humanities; Problem Analysis,Inference,5
101,1,Reading Comprehension,,PT-101-S-1-P-1-Q-6,2.0,141.24,,,PT-101-S-1-P-1,1,2.0,Debate; Humanities; Problem Analysis,Inference,6
101,1,Reading Comprehension,,PT-101-S-1-P-2-Q-7,3.0,150.81,,,PT-101-S-1-P-2,2,2.0,Humanities; One-Position; Single-Topic,Main Idea,7
101,1,Reading Comprehension,,PT-101-S-1-P-2-Q-8,3.0,146.13,,,PT-101-S-1-P-2,2,2.0,Humanities; One-Position; Single-Topic,Inference,8
101,1,Reading Comprehension,,PT-101-S-1-P-2-Q-9,3.0,146.37,,,PT-101-S-1-P-2,2,2.0,Humanities; One-Position; Single-Topic,Except; Inference,9
101,1,Reading Comprehension,,PT-101-S-1-P-2-Q-10,1.0,132.28,,,PT-101-S-1-P-2,2,2.0,Humanities; One-Position; Single-Topic,Author Viewpoint; Inference,10
101,1,Reading Comprehension,,PT-101-S-1-P-2-Q-11,3.0,143.98,,,PT-101-S-1-P-2,2,2.0,Humanities; One-Position; Single-Topic,PurpCtx.,11
101,1,Reading Comprehension,,PT-101-S-1-P-2-Q-12,3.0,144.89,,,PT-101-S-1-P-2,2,2.0,Humanities; One-Position; Single-Topic,Inference; Purpose of Passage,12
101,1,Reading Comprehension,,PT-101-S-1-P-2-Q-13,3.0,146.58,,,PT-101-S-1-P-2,2,2.0,Humanities; One-Position; Single-Topic,Purpose of Paragraph,13
101,1,Reading Comprehension,,PT-101-S-1-P-3-Q-14,3.0,144.89,,,PT-101-S-1-P-3,3,3.0,Debate; Law; Problem Analysis,Main Idea,14
101,1,Reading Comprehension,,PT-101-S-1-P-3-Q-15,3.0,142.4,,,PT-101-S-1-P-3,3,3.0,Debate; Law; Problem Analysis,Author Attitude; Inference,15
101,1,Reading Comprehension,,PT-101-S-1-P-3-Q-16,3.0,144.85,,,PT-101-S-1-P-3,3,3.0,Debate; Law; Problem Analysis,Inference,16
101,1,Reading Comprehension,,PT-101-S-1-P-3-Q-17,3.0,144.46,,,PT-101-S-1-P-3,3,3.0,Debate; Law; Problem Analysis,Purpose of Paragraph,17
101,1,Reading Comprehension,,PT-101-S-1-P-3-Q-18,4.0,155.07,,,PT-101-S-1-P-3,3,3.0,Debate; Law; Problem Analysis,Analogy,18
101,1,Reading Comprehension,,PT-101-S-1-P-3-Q-19,5.0,167.17,,,PT-101-S-1-P-3,3,3.0,Debate; Law; Problem Analysis,Inference,19
101,1,Reading Comprehension,,PT-101-S-1-P-3-Q-20,3.0,142.49,,,PT-101-S-1-P-3,3,3.0,Debate; Law; Problem Analysis,Structure,20
101,1,Reading Comprehension,,PT-101-S-1-P-4-Q-21,4.0,157.68,,,PT-101-S-1-P-4,4,5.0,Art; One-Position,Inference; Purpose of Passage,21
101,1,Reading Comprehension,,PT-101-S-1-P-4-Q-22,4.0,155.42,,,PT-101-S-1-P-4,4,5.0,Art; One-Position,Main Idea,22
101,1,Reading Comprehension,,PT-101-S-1-P-4-Q-23,4.0,153.03,,,PT-101-S-1-P-4,4,5.0,Art; One-Position,Inference,23
101,1,Reading Comprehension,,PT-101-S-1-P-4-Q-24,5.0,165.31,,,PT-101-S-1-P-4,4,5.0,Art; One-Position,Except; Inference,24
101,1,Reading Comprehension,,PT-101-S-1-P-4-Q-25,4.0,153.81,,,PT-101-S-1-P-4,4,5.0,Art; One-Position,Inference,25
101,1,Reading Comprehension,,PT-101-S-1-P-4-Q-26,4.0,153.7,,,PT-101-S-1-P-4,4,5.0,Art; One-Position,Application,26
101,1,Reading Comprehension,,PT-101-S-1-P-4-Q-27,3.0,150.24,,,PT-101-S-1-P-4,4,5.0,Art; One-Position,Purpose of Paragraph,27
101,2,Logical Reasoning,1,PT-101-S-2-Q-1,4.0,153.94,Weaken,Link Assumption; Sampling,,,,,,
101,2,Logical Reasoning,2,PT-101-S-2-Q-2,3.0,147.09,Most Strongly Supported,,,,,,,
101,2,Logical Reasoning,3,PT-101-S-2-Q-3,1.0,125.84,Method of Reasoning,Eliminating Options,,,,,,
101,2,Logical Reasoning,4,PT-101-S-2-Q-4,3.0,145.66,Strengthen,Except; Sampling,,,,,,
101,2,Logical Reasoning,5,PT-101-S-2-Q-5,2.0,134.65,Parallel Flaw,Math; Part v. Whole,,,,,,
101,2,Logical Reasoning,6,PT-101-S-2-Q-6,3.0,143.78,Flaw,Value Judgment,,,,,,
101,2,Logical Reasoning,7,PT-101-S-2-Q-7,1.0,131.61,Weaken,Except,,,,,,
101,2,Logical Reasoning,8,PT-101-S-2-Q-8,3.0,144.67,Flaw,,,,,,,
101,2,Logical Reasoning,9,PT-101-S-2-Q-9,3.0,147.76,Strengthen,Link Assumption; Rule-Application,,,,,,
101,2,Logical Reasoning,10,PT-101-S-2-Q-10,2.0,139.25,Argument Part,Link Assumption,,,,,,
101,2,Logical Reasoning,11,PT-101-S-2-Q-11,3.0,145.59,Must be True,Conditional Reasoning; Quantifier,,,,,,
101,2,Logical Reasoning,12,PT-101-S-2-Q-12,3.0,152.34,Main conclusion or main point,Fallacy,,,,,,
101,2,Logical Reasoning,13,PT-101-S-2-Q-13,3.0,143.68,Parallel,Conditional Reasoning; Eliminating Options,,,,,,
101,2,Logical Reasoning,14,PT-101-S-2-Q-14,4.0,158.88,Disagree,Net Effect; Value Judgment,,,,,,
101,2,Logical Reasoning,15,PT-101-S-2-Q-15,1.0,126.83,Main conclusion or main point,Link Assumption; Sampling,,,,,,
101,2,Logical Reasoning,16,PT-101-S-2-Q-16,3.0,149.94,Evaluate,Link Assumption; Sampling,,,,,,
101,2,Logical Reasoning,17,PT-101-S-2-Q-17,4.0,154.61,Necessary assumption,Conditional Reasoning; Link Assumption,,,,,,
101,2,Logical Reasoning,18,PT-101-S-2-Q-18,5.0,169.44,Paradox - Explain,Value Judgment,,,,,,
101,2,Logical Reasoning,19,PT-101-S-2-Q-19,5.0,171.53,Weaken,Causal Reasoning; Except; Math,,,,,,
101,2,Logical Reasoning,20,PT-101-S-2-Q-20,4.0,156.72,Weaken,Except; Link Assumption,,,,,,
101,2,Logical Reasoning,21,PT-101-S-2-Q-21,5.0,162.09,Sufficient assumption,Conditional Reasoning; Link Assumption; Value Judgment,,,,,,
101,2,Logical Reasoning,22,PT-101-S-2-Q-22,5.0,163.02,Principle; Principle - Rule,Link Assumption; Rule-Application,,,,,,
101,2,Logical Reasoning,23,PT-101-S-2-Q-23,5.0,161.54,Flaw,Conditional Reasoning,,,,,,
101,2,Logical Reasoning,24,PT-101-S-2-Q-24,5.0,161.55,Sufficient assumption,Conditional Reasoning; Link Assumption,,,,,,
101,2,Logical Reasoning,25,PT-101-S-2-Q-25,5.0,160.07,Strengthen,Fact v. Belief v. Knowledge; Rule-Application; Value Judgment,,,,,,
101,3,Logical Reasoning,1,PT-101-S-3-Q-1,2.0,136.66,Disagree,Net Effect,,,,,,
101,3,Logical Reasoning,2,PT-101-S-3-Q-2,1.0,133.13,Flaw,Analogy; Value Judgment,,,,,,
101,3,Logical Reasoning,3,PT-101-S-3-Q-3,2.0,137.92,Method of Reasoning,,,,,,,
101,3,Logical Reasoning,4,PT-101-S-3-Q-4,3.0,150.18,Flaw,,,,,,,
101,3,Logical Reasoning,5,PT-101-S-3-Q-5,1.0,134.41,Necessary assumption,Link Assumption,,,,,,
101,3,Logical Reasoning,6,PT-101-S-3-Q-6,1.0,129.31,Weaken,Causal Reasoning; Sampling; Value Judgment,,,,,,
101,3,Logical Reasoning,7,PT-101-S-3-Q-7,1.0,127.61,Most Strongly Supported,Net Effect,,,,,,
101,3,Logical Reasoning,8,PT-101-S-3-Q-8,3.0,144.16,Inference,,,,,,,
